name,Full_Name,Latitude,Longitude,Region,Description,Icon
CBAR,Cape Barne,-77.578012,166.241620,Victoria Land,Original location of colony unknown.,166
CBAY,Casey Bay,-67.377400,48.656500,Enderby Land,,166
CBEK,"Cape Colbeck, Edward VII Peninsula",-77.140000,-157.700000,Marie Byrd Land,,166
CCMP,Chinstrap Camp,-61.156000,-54.756000,Elephant Island,,166
CCOE,Cape Conway (East),-62.838000,-61.424000,South Shetland Islands,,166
CDAV,Cape Davis,-66.650000,163.533300,Victoria Land,Exact location of the colony unknown.,166
CECI,Cecilia Island,-62.412800,-59.728500,South Shetland Islands,,166
CHAB,Chabrier Rock - Vaureal Peak,-62.187400,-58.296100,South Shetland Islands,,166
CHAL,Cape Hallett,-72.317900,170.214200,Victoria Land,,166
CHAP,Chappel Island,-66.177200,110.419300,Wilkes Land,,166
CHAR,Charcot Island,-69.761700,-75.407400,Palmer Land,,166
CHAT,Chatos Island,-67.660000,-69.152000,Southwest Antarctic Peninsula,,166
CHEA,Cheal Point,-60.637900,-46.010500,South Orkney Islands,,166
CHEC,Crown Head (East Coast),-60.626000,-45.317000,South Orkney Islands,,166
CHI1,Child Rocks Islands 1,-67.437700,63.274900,Mac. Robertson Land,,166
CHI2,Child Rocks Islands 2,-67.438000,63.282400,Mac. Robertson Land,,166
CHI3,Child Rocks Islands 3,-67.438700,63.271500,Mac. Robertson Land,,166
CHIC,Chick Islands,-66.791800,120.993400,Wilkes Land,,166
CHII,Chinstrap Island,-66.917100,163.311700,Victoria Land,,166
CHIN,Chinstrap Cove,-61.245000,-54.197000,Elephant Island,,166
CHIS,Christine Island,-64.794600,-64.023600,Central-west Antarctic Peninsula,"The satellite imagery seems to show most birds on the NE end of the island, but should confirm with someone who's been there.",166
CHNE,Cape Herschel (northeast),-64.037000,-60.990000,Central-west Antarctic Peninsula,,166
CHPT,Charles Point,-64.232000,-60.995000,Central-west Antarctic Peninsula,,166
CHRI,Christoffersen Island,-60.728000,-45.035000,South Orkney Islands,,166
CHSE,Cape Herschel (southeast),-64.066000,-61.028000,Central-west Antarctic Peninsula,,166
CHUN,Cape Hunter,-66.963000,142.349000,Victoria Land,,166
CHUR,Church Bay,-54.000000,-37.783333,,,166
CIER,Cierva Point,-64.150000,-60.966700,Central-west Antarctic Peninsula,,166
CINE,Cooper Island NE,-54.250000,-36.750000,,,166
CIOL,Coronation Island (other localities),-60.665000,-45.444000,South Orkney Islands,,166
CIPT,Cieslak Point,-62.011000,-58.648000,South Shetland Islands,,166
CLAR,Clark Island,-74.056000,-105.193000,Marie Byrd Land,,166
CLIN,Cape Lindsey,-61.107000,-55.480000,Elephant Island,,166
CLPT,Claude Point,-64.116000,-62.617700,Central-west Antarctic Peninsula,,166
CMEL,Cape Melville,-62.022000,-57.580000,South Shetland Islands,,166
CMID,Coulman Middle,-73.437200,169.885400,Victoria Land,,166
CMUR,Cape Murray,-64.366300,-61.620600,Central-west Antarctic Peninsula,,166
CNOR,Coulman North,-73.382200,169.840100,Victoria Land,,166
COB1,Cooper Bay 1,-54.794000,-35.817000,,,166
COB2,Cooper Bay 2,-54.795000,-35.818000,,,166
COB3,Cooper Bay 3,-54.250000,-36.750000,,,166
COBA,Cobalescou Island,-64.179500,-61.649900,Central-west Antarctic Peninsula,,166
COCK,Cockburn Island,-64.200500,-56.841200,Northeast Antarctic Peninsula,,166
COFF,Coffer Island,-60.719800,-45.162500,South Orkney Islands,,166
COIE,Cooper Island East,-54.250000,-36.750000,,,166
COIN,Cooper Island North,-54.803000,-35.794000,,,166
COLB,Colbeck Archipelago Unnamed 1,-67.343600,61.064700,Mac. Robertson Land,,166
CONC,Conception Point,-60.512000,-45.717000,South Orkney Islands,,166
CONE,Cone Island,-67.674900,-69.153100,Southwest Antarctic Peninsula,,166
CONF,Confusion Island,-60.738000,-45.636000,South Orkney Islands,,166
CONI,Conical Island (Aviation Islands),-69.266700,158.783300,Victoria Land,,166
CONT,Continental Rock,-67.399700,59.796400,Mac. Robertson Land,,166
CONW,Cape Conway,-62.841500,-61.422400,South Shetland Islands,,166
COOP,Cooper Island,-54.799700,-34.783110,,,166
CORI,Cornwall Island,-62.342600,-59.709000,South Shetland Islands,,166
CORM,Cormorant Island,-64.793900,-63.966700,Central-west Antarctic Peninsula,,166
CORN,Cape Cornish (NE Buckle),-66.703100,163.213900,Victoria Land,,166
CORP,Cormorant Point,-60.752000,-44.738000,South Shetland Islands,,166
COSE,Cooper Sound East,-54.798000,-35.835000,,,166
COSW,Cooper Sound West,-54.799000,-35.852000,,,166
COTT,Cape Cotter,-72.404500,170.312200,Victoria Land,,166
COUL,Coulman Island,-73.350000,169.610000,Victoria Land,,166
CPTW,Cieslak Point (west),-62.011000,-58.648000,South Shetland Islands,,166
CRAB,Crab Beach,-61.246000,-55.170000,Elephant Island,,166
CRAG,Near Craggy Point (Sugarloaf Island),-61.302000,-54.186000,Elephant Island,,166
CRBA,Cresta Run Bay,-61.236000,-55.359000,Elephant Island,,166
CRIS,Cove Rock Islet,-61.916000,-57.718000,,,166
