"","FileName","SourceFile","ExifToolVersion","Directory","FileSize","FileModifyDate","FileAccessDate","FileCreateDate","FilePermissions","FileType","FileTypeExtension","MIMEType","JFIFVersion","ResolutionUnit","XResolution","YResolution","ImageWidth","ImageHeight","EncodingProcess","BitsPerSample","ColorComponents","YCbCrSubSampling","ImageSize","Megapixels","image_class","latitude","longitude","datetime"
"900","8723131952_cbfdd84026_k.jpg","8723131952_cbfdd84026_k.jpg",11.4,".",299090,"2020:08:28 17:24:24-04:00","2020:08:30 11:53:15-04:00","2020:08:30 11:53:15-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"901","8723132390_ec8ae0899b_k.jpg","8723132390_ec8ae0899b_k.jpg",11.4,".",416484,"2020:08:28 17:27:59-04:00","2020:08:30 11:53:27-04:00","2020:08:30 11:53:27-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"crabeater",NA,NA,NA
"902","8723132768_1291bde760_k.jpg","8723132768_1291bde760_k.jpg",11.4,".",338167,"2020:08:28 17:27:05-04:00","2020:08:30 11:53:27-04:00","2020:08:30 11:53:27-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"crabeater",NA,NA,NA
"903","8723133576_51cd9296ac_k.jpg","8723133576_51cd9296ac_k.jpg",11.4,".",270313,"2020:08:28 17:29:19-04:00","2020:08:30 11:53:27-04:00","2020:08:30 11:53:27-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"crabeater",NA,NA,NA
"904","8723221456_79974cf120_k.jpg","8723221456_79974cf120_k.jpg",11.4,".",306060,"2020:08:28 17:26:17-04:00","2020:08:30 11:53:20-04:00","2020:08:30 11:53:20-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"905","8723222678_3a78f6c00b_k.jpg","8723222678_3a78f6c00b_k.jpg",11.4,".",201099,"2020:08:28 17:30:49-04:00","2020:08:30 11:53:12-04:00","2020:08:30 11:53:12-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"906","8723224068_89b3247695_k.jpg","8723224068_89b3247695_k.jpg",11.4,".",253803,"2020:08:28 17:21:08-04:00","2020:08:30 11:53:24-04:00","2020:08:30 11:53:24-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"907","8723225030_6753d02844_k.jpg","8723225030_6753d02844_k.jpg",11.4,".",215196,"2020:08:28 17:30:35-04:00","2020:08:30 11:53:24-04:00","2020:08:30 11:53:24-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2048,1024,0,8,3,"2 2","2048 1024",2.097152,"NonSeal",NA,NA,NA
"908","8723225816_b58bf6e549_k.jpg","8723225816_b58bf6e549_k.jpg",11.4,".",280696,"2020:08:28 17:29:14-04:00","2020:08:30 11:53:15-04:00","2020:08:30 11:53:15-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"909","8723226330_5a7c94c10f_k.jpg","8723226330_5a7c94c10f_k.jpg",11.4,".",262730,"2020:08:28 17:29:29-04:00","2020:08:30 11:53:24-04:00","2020:08:30 11:53:24-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"910","8723227610_45f0cbddb7_k.jpg","8723227610_45f0cbddb7_k.jpg",11.4,".",314528,"2020:08:28 17:20:41-04:00","2020:08:30 11:53:27-04:00","2020:08:30 11:53:27-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"crabeater",NA,NA,NA
"911","8723228372_4d09819b2f_k.jpg","8723228372_4d09819b2f_k.jpg",11.4,".",303340,"2020:08:28 17:23:20-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:24-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"912","8723228780_c5e0b12bb8_k.jpg","8723228780_c5e0b12bb8_k.jpg",11.4,".",248168,"2020:08:28 17:30:26-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
